time,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone
2024-01-01 00:00:00,68.9,46.2,0.598,6.7,19.9,97.0
2024-01-01 01:00:00,70.1,47.1,0.689,14.8,20.4,89.0
2024-01-01 02:00:00,72.6,49.1,0.812,25.8,21.2,78.0
2024-01-01 03:00:00,76.1,51.8,0.887,31.8,22.2,77.0
2024-01-01 04:00:00,77.5,53.0,0.872,28.3,23.6,95.0
2024-01-01 05:00:00,75.4,51.7,0.807,20.0,25.2,122.0
2024-01-01 06:00:00,71.5,48.9,0.738,13.0,26.2,144.0
2024-01-01 07:00:00,65.7,44.2,0.669,9.6,26.3,154.0
2024-01-01 08:00:00,57.0,37.3,0.594,7.6,25.8,159.0
2024-01-01 09:00:00,51.6,32.7,0.541,6.9,25.4,159.0
2024-01-01 10:00:00,48.7,30.5,0.515,7.0,25.3,156.0
2024-01-01 11:00:00,47.4,29.7,0.51,8.3,25.3,150.0
2024-01-01 12:00:00,34.0,21.4,0.521,12.2,24.8,142.0
2024-01-01 13:00:00,35.7,23.8,0.615,20.6,23.4,124.0
2024-01-01 14:00:00,35.9,24.6,0.743,31.9,21.4,99.0
2024-01-01 15:00:00,34.8,24.3,0.83,38.4,19.9,82.0
2024-01-01 16:00:00,34.9,24.4,0.836,35.6,19.2,81.0
2024-01-01 17:00:00,37.1,26.0,0.8,27.9,18.9,89.0
2024-01-01 18:00:00,39.9,27.9,0.766,21.0,18.8,96.0
2024-01-01 19:00:00,42.3,29.4,0.746,16.7,18.7,99.0
2024-01-01 20:00:00,43.4,30.2,0.727,13.2,18.7,102.0
2024-01-01 21:00:00,44.0,30.6,0.713,10.5,18.9,104.0
2024-01-01 22:00:00,44.5,30.9,0.693,7.4,19.1,107.0
2024-01-01 23:00:00,45.2,31.3,0.678,5.1,19.5,109.0
2024-01-02 00:00:00,42.1,29.2,0.693,8.2,18.4,97.0
2024-01-02 01:00:00,44.1,30.6,0.811,19.0,19.1,84.0
2024-01-02 02:00:00,48.8,33.8,0.971,33.6,20.1,67.0
2024-01-02 03:00:00,56.1,38.9,1.067,41.9,21.5,63.0
2024-01-02 04:00:00,62.2,43.2,1.044,38.0,23.4,83.0
2024-01-02 05:00:00,65.9,45.6,0.957,27.9,25.7,117.0
2024-01-02 06:00:00,68.9,47.0,0.863,19.1,27.7,145.0
2024-01-02 07:00:00,64.0,42.4,0.768,13.9,29.4,163.0
2024-01-02 08:00:00,57.6,37.4,0.666,10.1,30.9,176.0
2024-01-02 09:00:00,54.6,34.9,0.597,8.4,32.1,184.0
2024-01-02 10:00:00,52.7,33.3,0.54,5.3,33.1,191.0
2024-01-02 11:00:00,52.3,32.6,0.516,4.3,33.8,193.0
2024-01-02 12:00:00,56.0,33.9,0.584,15.2,30.9,176.0
2024-01-02 13:00:00,59.0,36.4,0.843,42.9,31.5,135.0
2024-01-02 14:00:00,76.6,50.1,1.199,80.8,32.3,78.0
2024-01-02 15:00:00,86.4,58.1,1.454,106.7,32.5,36.0
2024-01-02 16:00:00,92.0,62.6,1.528,110.6,31.7,21.0
2024-01-02 17:00:00,93.6,64.5,1.5,102.6,30.2,20.0
2024-01-02 18:00:00,90.1,62.4,1.412,90.6,28.3,24.0
2024-01-02 19:00:00,84.8,58.7,1.246,75.3,25.8,30.0
2024-01-02 20:00:00,79.4,54.8,1.019,56.1,22.8,41.0
2024-01-02 21:00:00,73.8,50.9,0.827,39.3,20.4,52.0
2024-01-02 22:00:00,68.7,46.9,0.687,25.2,18.8,66.0
2024-01-02 23:00:00,63.6,43.0,0.582,13.6,17.8,80.0
2024-01-03 00:00:00,60.3,40.2,0.578,11.9,16.9,80.0
2024-01-03 01:00:00,58.2,38.6,0.682,21.8,17.4,72.0
2024-01-03 02:00:00,60.1,39.8,0.82,35.1,18.2,61.0
2024-01-03 03:00:00,65.7,43.5,0.891,42.2,19.3,60.0
2024-01-03 04:00:00,69.4,46.0,0.833,37.3,21.2,77.0
2024-01-03 05:00:00,71.9,47.4,0.707,26.3,23.4,105.0
2024-01-03 06:00:00,66.8,42.3,0.599,17.0,25.1,129.0
2024-01-03 07:00:00,58.7,35.4,0.537,12.1,25.7,147.0
2024-01-03 08:00:00,56.3,32.8,0.492,9.0,25.8,162.0
2024-01-03 09:00:00,56.3,32.0,0.461,7.5,25.7,170.0
2024-01-03 10:00:00,55.3,30.5,0.436,7.1,25.7,170.0
2024-01-03 11:00:00,54.6,29.6,0.426,8.3,25.6,164.0
2024-01-03 12:00:00,62.6,33.9,0.492,13.9,25.6,158.0
2024-01-03 13:00:00,62.2,36.0,0.593,25.7,24.9,130.0
2024-01-03 14:00:00,64.7,39.8,0.727,41.4,23.8,92.0
2024-01-03 15:00:00,63.8,40.3,0.794,50.0,22.4,65.0
2024-01-03 16:00:00,61.9,39.3,0.733,44.6,20.5,61.0
2024-01-03 17:00:00,60.1,38.2,0.604,32.0,18.1,69.0
2024-01-03 18:00:00,59.5,37.5,0.495,21.3,15.9,77.0
2024-01-03 19:00:00,58.7,36.7,0.435,15.7,13.8,80.0
2024-01-03 20:00:00,56.7,35.3,0.394,12.0,11.7,83.0
2024-01-03 21:00:00,54.7,34.0,0.364,9.2,10.1,85.0
2024-01-03 22:00:00,53.3,33.2,0.337,6.6,9.1,87.0
2024-01-03 23:00:00,52.6,32.9,0.321,5.0,8.5,89.0
2024-01-04 00:00:00,53.0,33.2,0.336,6.2,8.5,88.0
2024-01-04 01:00:00,54.0,34.1,0.414,12.8,8.8,81.0
2024-01-04 02:00:00,56.8,36.3,0.519,21.7,9.2,73.0
2024-01-04 03:00:00,60.5,39.1,0.588,26.7,10.2,72.0
2024-01-04 04:00:00,62.4,40.4,0.588,24.2,12.0,85.0
2024-01-04 05:00:00,62.4,40.4,0.551,17.8,14.3,106.0
2024-01-04 06:00:00,56.5,36.3,0.51,12.4,16.7,125.0
2024-01-04 07:00:00,46.8,29.7,0.468,9.6,19.3,139.0
2024-01-04 08:00:00,40.3,25.1,0.422,7.9,21.9,151.0
2024-01-04 09:00:00,38.2,23.4,0.394,7.4,23.8,158.0
2024-01-04 10:00:00,38.6,23.2,0.384,7.7,24.6,160.0
2024-01-04 11:00:00,40.2,23.7,0.392,9.3,24.6,157.0
2024-01-04 12:00:00,68.7,40.6,0.463,14.3,24.2,150.0
2024-01-04 13:00:00,77.8,48.2,0.547,21.4,22.8,132.0
2024-01-04 14:00:00,85.4,54.0,0.662,30.9,20.7,106.0
2024-01-04 15:00:00,88.9,56.2,0.737,36.2,18.9,88.0
2024-01-04 16:00:00,91.0,57.2,0.734,33.6,17.6,83.0
2024-01-04 17:00:00,92.9,58.2,0.691,26.8,16.5,85.0
2024-01-04 18:00:00,94.5,59.0,0.649,20.6,15.4,88.0
2024-01-04 19:00:00,94.8,58.9,0.62,16.4,14.1,90.0
2024-01-04 20:00:00,94.3,58.1,0.593,12.7,12.7,92.0
2024-01-04 21:00:00,93.4,57.0,0.568,9.8,11.7,94.0
2024-01-04 22:00:00,92.4,56.0,0.537,7.1,11.3,96.0
2024-01-04 23:00:00,91.3,55.1,0.51,5.1,11.2,97.0
2024-01-05 00:00:00,90.1,54.2,0.523,6.9,11.5,93.0
2024-01-05 01:00:00,90.3,54.2,0.612,15.7,11.8,82.0
2024-01-05 02:00:00,92.7,56.0,0.731,27.6,12.3,68.0
2024-01-05 03:00:00,97.3,59.4,0.8,34.5,13.3,63.0
2024-01-05 04:00:00,99.0,60.8,0.774,31.5,14.7,77.0
2024-01-05 05:00:00,98.3,59.8,0.697,23.6,16.6,100.0
2024-01-05 06:00:00,87.5,52.0,0.619,16.8,19.3,120.0
2024-01-05 07:00:00,76.1,43.8,0.545,13.3,23.8,132.0
2024-01-05 08:00:00,72.2,40.3,0.469,11.0,29.2,141.0
2024-01-05 09:00:00,73.8,39.9,0.422,10.1,32.6,147.0
2024-01-05 10:00:00,75.4,40.2,0.41,10.0,32.7,151.0
2024-01-05 11:00:00,76.4,40.9,0.428,11.4,30.9,151.0
2024-01-05 12:00:00,84.3,46.4,0.509,16.8,30.4,143.0
2024-01-05 13:00:00,89.4,52.7,0.669,31.3,28.6,117.0
2024-01-05 14:00:00,98.0,60.5,0.884,50.6,26.1,83.0
2024-01-05 15:00:00,99.2,62.4,1.009,60.3,23.5,60.0
2024-01-05 16:00:00,99.4,62.9,0.959,51.2,21.0,62.0
2024-01-05 17:00:00,98.7,62.2,0.818,32.5,18.4,76.0
2024-01-05 18:00:00,96.6,60.8,0.702,17.5,16.4,88.0
2024-01-05 19:00:00,93.4,58.6,0.652,11.5,15.3,93.0
2024-01-05 20:00:00,89.4,56.0,0.625,9.1,14.7,96.0
2024-01-05 21:00:00,85.9,53.8,0.608,7.5,14.4,98.0
2024-01-05 22:00:00,82.7,51.9,0.59,5.3,14.3,101.0
2024-01-05 23:00:00,80.3,50.8,0.582,4.0,14.5,102.0
2024-01-06 00:00:00,80.1,50.3,0.579,5.8,14.2,98.0
2024-01-06 01:00:00,79.2,49.7,0.648,12.6,14.5,91.0
2024-01-06 02:00:00,80.3,50.6,0.742,21.8,15.0,82.0
2024-01-06 03:00:00,83.4,52.9,0.794,26.9,15.7,80.0
2024-01-06 04:00:00,84.5,53.7,0.769,24.1,16.9,92.0
2024-01-06 05:00:00,85.7,53.8,0.703,17.2,18.4,111.0
2024-01-06 06:00:00,78.7,48.1,0.639,11.5,19.8,127.0
2024-01-06 07:00:00,71.7,42.6,0.584,8.7,20.9,138.0
2024-01-06 08:00:00,68.0,39.8,0.53,7.2,21.8,145.0
2024-01-06 09:00:00,65.7,38.2,0.496,6.7,22.4,149.0
2024-01-06 10:00:00,63.8,37.1,0.485,7.2,22.6,148.0
2024-01-06 11:00:00,62.2,36.3,0.493,8.9,22.4,142.0
2024-01-06 12:00:00,57.5,34.2,0.534,11.8,21.8,131.0
2024-01-06 13:00:00,66.4,41.2,0.598,17.1,21.6,117.0
2024-01-06 14:00:00,72.6,45.6,0.685,24.2,21.2,97.0
2024-01-06 15:00:00,75.9,47.8,0.741,28.1,20.8,83.0
2024-01-06 16:00:00,77.3,48.8,0.739,26.2,20.4,79.0
2024-01-06 17:00:00,78.2,49.4,0.706,21.1,19.9,81.0
2024-01-06 18:00:00,78.9,49.7,0.675,16.2,19.5,84.0
2024-01-06 19:00:00,78.9,49.6,0.653,12.4,19.1,89.0
